trade_date,stock_code,side,shares,price
2016-07-15,600391.SH,sell,361.09172232659984,99.23
2016-07-15,600519.SH,sell,15.997808224833078,2224.22
2016-07-15,600796.SH,sell,420.50855858302907,82.59
2016-07-15,600872.SH,sell,246.66052452679241,143.07
2016-07-15,600900.SH,sell,1017.8722700284987,34.96
2016-07-15,601007.SH,sell,2466.605245267924,13.88
2016-07-15,601088.SH,sell,1844.3867155269452,20.25
2016-07-15,601166.SH,sell,621.7293564871532,56.96
2016-07-15,601288.SH,sell,8348.51006090682,4.23
2016-07-15,601318.SH,sell,490.74186595128407,72.57
2016-07-15,601328.SH,sell,3919.842195640223,8.98
2016-07-15,601398.SH,sell,5199.072133738379,6.73
2016-07-15,601601.SH,sell,1132.0013641907553,31.5
2016-07-15,601766.SH,sell,3375.10222093026,10.47
2016-07-15,601857.SH,sell,3795.606759931407,9.31
2016-07-15,601988.SH,sell,6863.59720422379,5.22
2016-07-15,601998.SH,sell,4790.317497016879,7.69
2016-07-15,601999.SH,sell,3486.9278969249367,10.92
2016-07-15,000002.SZ,buy,15.63019741683417,2280.04
2016-07-15,000710.SZ,buy,460.7896989692084,77.34
2016-07-15,600000.SH,buy,244.7796917252461,145.59
2016-07-15,600004.SH,buy,1643.0371285513406,21.69
2016-07-15,600009.SH,buy,449.7409807960447,79.24
2016-07-15,600016.SH,buy,201.10307160024027,177.21
2016-07-15,600028.SH,buy,2916.323675800211,12.22
2016-07-15,600036.SH,buy,464.45295605732537,76.73
2016-07-15,600104.SH,buy,210.51140243533925,169.29
2016-07-15,600158.SH,buy,302.5252573707859,117.8
2016-07-15,600318.SH,buy,842.8920368561631,42.28
2016-07-15,600391.SH,buy,359.1401322007314,99.23
2016-07-15,600519.SH,buy,16.022459701953306,2224.22
2016-07-15,600796.SH,buy,431.49867197334515,82.59
2016-07-15,600872.SH,buy,249.09118136771218,143.07
2016-07-15,600900.SH,buy,1019.3785846189525,34.96
2016-07-15,601007.SH,buy,2567.5414494437014,13.88
2016-07-15,601088.SH,buy,1759.875324359436,20.25
2016-07-15,601166.SH,buy,625.6579234248346,56.96
2016-07-15,601288.SH,buy,8424.93506342283,4.23
2016-07-15,601318.SH,buy,491.0772401581726,72.57
2016-07-15,601328.SH,buy,3968.5384541512894,8.98
2016-07-15,601398.SH,buy,5295.315797663979,6.73
2016-07-15,601601.SH,buy,1131.3484228024945,31.5
2016-07-15,601766.SH,buy,3403.77032648315,10.47
2016-07-15,601857.SH,buy,3827.8706034670868,9.31
2016-07-15,601988.SH,buy,6827.102551394364,5.22
2016-07-15,601998.SH,buy,4634.262069997214,7.69
2016-07-15,601999.SH,buy,3263.505065776427,10.92
2016-07-22,000002.SZ,sell,15.63019741683417,2216.31
2016-07-22,000710.SZ,sell,460.7896989692084,77.34
2016-07-22,600000.SH,sell,244.7796917252461,144.85
2016-07-22,600004.SH,sell,1643.0371285513406,21.92
2016-07-22,600009.SH,sell,449.7409807960447,77.9
2016-07-22,600016.SH,sell,201.10307160024027,176.63
2016-07-22,600028.SH,sell,2916.323675800211,12.04
2016-07-22,600036.SH,sell,464.45295605732537,76.46
2016-07-22,600104.SH,sell,210.51140243533925,170.08
2016-07-22,600158.SH,sell,302.5252573707859,120.69
2016-07-22,600318.SH,sell,842.8920368561631,42.28
2016-07-22,600391.SH,sell,359.1401322007314,95.92
2016-07-22,600519.SH,sell,16.022459701953306,2156.97
2016-07-22,600796.SH,sell,431.49867197334515,82.59
2016-07-22,600872.SH,sell,249.09118136771218,141.12
2016-07-22,600900.SH,sell,1019.3785846189525,34.57
2016-07-22,601007.SH,sell,2567.5414494437014,14.02
2016-07-22,601088.SH,sell,1759.875324359436,19.74
2016-07-22,601166.SH,sell,625.6579234248346,56.7
2016-07-22,601288.SH,sell,8424.93506342283,4.19
2016-07-22,601318.SH,sell,491.0772401581726,71.93
2016-07-22,601328.SH,sell,3968.5384541512894,8.9
2016-07-22,601398.SH,sell,5295.315797663979,6.67
2016-07-22,601601.SH,sell,1131.3484228024945,31.11
2016-07-22,601766.SH,sell,3403.77032648315,10.31
2016-07-22,601857.SH,sell,3827.8706034670868,9.2
2016-07-22,601988.SH,sell,6827.102551394364,5.17
2016-07-22,601998.SH,sell,4634.262069997214,7.77
2016-07-22,601999.SH,sell,3263.505065776427,10.69
2016-07-22,000002.SZ,buy,15.417420496150566,2216.31
2016-07-22,000710.SZ,buy,441.812557794459,77.34
2016-07-22,600000.SH,buy,235.89770949135976,144.85
2016-07-22,600004.SH,buy,1558.8404753569096,21.92
2016-07-22,600009.SH,buy,438.6364983289276,77.9
2016-07-22,600012.SH,buy,1098.3536875545954,31.11
2016-07-22,600016.SH,buy,193.45401811596818,176.63
2016-07-22,600028.SH,buy,2838.0218621115832,12.04
2016-07-22,600036.SH,buy,446.8975048368227,76.46
2016-07-22,600104.SH,buy,200.9041816781718,170.08
2016-07-22,600158.SH,buy,283.12025204924566,120.69
2016-07-22,600318.SH,buy,808.1784110648879,42.28
2016-07-22,600391.SH,buy,356.2321019581261,95.92
2016-07-22,600519.SH,buy,15.841566280394936,2156.97
2016-07-22,600796.SH,buy,413.72785106942075,82.59
2016-07-22,600872.SH,buy,242.13281760078982,141.12
2016-07-22,600900.SH,buy,988.4230031768429,34.57
2016-07-22,601007.SH,buy,2437.217062754883,14.02
2016-07-22,601088.SH,buy,1730.9920577418168,19.74
2016-07-22,601166.SH,buy,602.6416793619658,56.7
2016-07-22,601288.SH,buy,8155.079527404167,4.19
2016-07-22,601318.SH,buy,475.04216905079187,71.93
2016-07-22,601328.SH,buy,3839.3014853734226,8.9
2016-07-22,601398.SH,buy,5122.90602995854,6.67
2016-07-22,601601.SH,buy,1098.3536875545954,31.11
2016-07-22,601766.SH,buy,3314.236975734574,10.31
2016-07-22,601857.SH,buy,3714.106871719942,9.2
2016-07-22,601988.SH,buy,6609.242402286936,5.17
2016-07-22,601998.SH,buy,4397.655498046778,7.77
2016-07-22,601999.SH,buy,3196.4249971771246,10.69
2016-07-29,000002.SZ,sell,15.417420496150566,2275.89
2016-07-29,000710.SZ,sell,441.812557794459,77.34
2016-07-29,600000.SH,sell,235.89770949135976,145.5
2016-07-29,600004.SH,sell,1558.8404753569096,22.55
2016-07-29,600009.SH,sell,438.6364983289276,81.07
2016-07-29,600012.SH,sell,1098.3536875545954,27.96
2016-07-29,600016.SH,sell,193.45401811596818,175.49
2016-07-29,600028.SH,sell,2838.0218621115832,11.99
2016-07-29,600036.SH,sell,446.8975048368227,76.82
2016-07-29,600104.SH,sell,200.9041816781718,183.68
2016-07-29,600158.SH,sell,283.12025204924566,109.89
2016-07-29,600318.SH,sell,808.1784110648879,42.28
2016-07-29,600391.SH,sell,356.2321019581261,89.61
2016-07-29,600519.SH,sell,15.841566280394936,2193.61
2016-07-29,600796.SH,sell,413.72785106942075,82.59
2016-07-29,600872.SH,sell,242.13281760078982,136.48
2016-07-29,600900.SH,sell,988.4230031768429,35.95
2016-07-29,601007.SH,sell,2437.217062754883,14.19
2016-07-29,601088.SH,sell,1730.9920577418168,19.44
2016-07-29,601166.SH,sell,602.6416793619658,56.7
2016-07-29,601288.SH,sell,8155.079527404167,4.22
2016-07-29,601318.SH,sell,475.04216905079187,72.08
2016-07-29,601328.SH,sell,3839.3014853734226,8.98
2016-07-29,601398.SH,sell,5122.90602995854,6.7
2016-07-29,601601.SH,sell,1098.3536875545954,30.75
2016-07-29,601766.SH,sell,3314.236975734574,10.11
2016-07-29,601857.SH,sell,3714.106871719942,9.11
2016-07-29,601988.SH,sell,6609.242402286936,5.24
2016-07-29,601998.SH,sell,4397.655498046778,7.87
2016-07-29,601999.SH,sell,3196.4249971771246,10.17
2016-07-29,000002.SZ,buy,14.96328659773435,2275.89
2016-07-29,000710.SZ,buy,440.32576073076837,77.34
2016-07-29,600000.SH,buy,234.05356931214865,145.5
2016-07-29,600004.SH,buy,1510.190436138254,22.55
2016-07-29,600009.SH,buy,420.06653922434475,81.07
2016-07-29,600016.SH,buy,194.05546945647973,175.49
2016-07-29,600028.SH,buy,2840.2664165902943,11.99
2016-07-29,600036.SH,buy,443.3063568721379,76.82
2016-07-29,600104.SH,buy,185.4028437223303,183.68
2016-07-29,600158.SH,buy,309.89893834668874,109.89
2016-07-29,600318.SH,buy,805.4587118003222,42.28
2016-07-29,600391.SH,buy,380.03341518711784,89.61
2016-07-29,600519.SH,buy,15.524543713293442,2193.61
2016-07-29,600796.SH,buy,412.3355652611409,82.59
2016-07-29,600872.SH,buy,249.52223281739177,136.48
2016-07-29,600900.SH,buy,947.2821789963178,35.95
2016-07-29,601007.SH,buy,2399.9150341731943,14.19
2016-07-29,601088.SH,buy,1751.7898320430877,19.44
2016-07-29,601166.SH,buy,600.6136567004872,56.7
2016-07-29,601288.SH,buy,8069.856477468633,4.22
2016-07-29,601318.SH,buy,472.45830098387387,72.08
2016-07-29,601328.SH,buy,3792.2933557814727,8.98
2016-07-29,601398.SH,buy,5082.8051246145715,6.7
2016-07-29,601601.SH,buy,1107.4729865013862,30.75
2016-07-29,601668.SH,buy,4971.502822615712,6.85
2016-07-29,601766.SH,buy,3368.426739358816,10.11
2016-07-29,601857.SH,buy,3738.177204711046,9.11
2016-07-29,601988.SH,buy,6499.006552465195,5.24
2016-07-29,601998.SH,buy,4327.165735059419,7.87
2016-07-29,601999.SH,buy,3348.554015232805,10.17
2016-08-05,000002.SZ,sell,14.96328659773435,2781.79
2016-08-05,000710.SZ,sell,440.32576073076837,77.34
2016-08-05,600000.SH,sell,234.05356931214865,145.78
2016-08-05,600004.SH,sell,1510.190436138254,22.44
2016-08-05,600009.SH,sell,420.06653922434475,81.74
2016-08-05,600016.SH,sell,194.05546945647973,178.17
2016-08-05,600028.SH,sell,2840.2664165902943,12.04
2016-08-05,600036.SH,sell,443.3063568721379,76.55
2016-08-05,600104.SH,sell,185.4028437223303,182.02
2016-08-05,600158.SH,sell,309.89893834668874,110.86
2016-08-05,600318.SH,sell,805.4587118003222,42.28
2016-08-05,600391.SH,sell,380.03341518711784,86.96
2016-08-05,600519.SH,sell,15.524543713293442,2143.03
2016-08-05,600796.SH,sell,412.3355652611409,82.59
2016-08-05,600872.SH,sell,249.52223281739177,152.57
2016-08-05,600900.SH,sell,947.2821789963178,35.98
2016-08-05,601007.SH,sell,2399.9150341731943,13.69
2016-08-05,601088.SH,sell,1751.7898320430877,19.73
2016-08-05,601166.SH,sell,600.6136567004872,56.88
2016-08-05,601288.SH,sell,8069.856477468633,4.23
2016-08-05,601318.SH,sell,472.45830098387387,71.66
2016-08-05,601328.SH,sell,3792.2933557814727,8.96
2016-08-05,601398.SH,sell,5082.8051246145715,6.74
2016-08-05,601601.SH,sell,1107.4729865013862,30.66
2016-08-05,601668.SH,sell,4971.502822615712,7.0
2016-08-05,601766.SH,sell,3368.426739358816,10.15
2016-08-05,601857.SH,sell,3738.177204711046,9.14
2016-08-05,601988.SH,sell,6499.006552465195,5.22
2016-08-05,601998.SH,sell,4327.165735059419,7.83
2016-08-05,601999.SH,sell,3348.554015232805,10.23
2016-08-05,000002.SZ,buy,12.370900693819864,2781.79
2016-08-05,000710.SZ,buy,444.9605358295986,77.34
2016-08-05,600000.SH,buy,236.06288819495924,145.78
2016-08-05,600004.SH,buy,1533.5671943431887,22.44
2016-08-05,600009.SH,buy,421.008659665539,81.74
2016-08-05,600016.SH,buy,193.14838548050267,178.17
2016-08-05,600028.SH,buy,2858.2431761678704,12.04
2016-08-05,600036.SH,buy,449.5525518100739,76.55
2016-08-05,600104.SH,buy,189.0630031922929,182.02
2016-08-05,600158.SH,buy,310.4207815358214,110.86
2016-08-05,600318.SH,buy,813.9367985113803,42.28
2016-08-05,600391.SH,buy,395.7365207113749,86.96
2016-08-05,600519.SH,buy,16.05822029605799,2143.03
2016-08-05,600796.SH,buy,416.6757215287705,82.59
2016-08-05,600872.SH,buy,225.55710717088,152.57
2016-08-05,600900.SH,buy,956.4549149822446,35.98
2016-08-05,601007.SH,buy,2513.75075537335,13.69
2016-08-05,601088.SH,buy,1744.2092164754768,19.73
2016-08-05,601166.SH,buy,605.0149057851821,56.88
2016-08-05,601288.SH,buy,8135.519584175214,4.23
2016-08-05,601318.SH,buy,480.229526110259,71.66
2016-08-05,601328.SH,buy,3840.7642679755754,8.96
2016-08-05,601398.SH,buy,5105.823121819163,6.74
2016-08-05,601601.SH,buy,1122.4151285408075,30.66
2016-08-05,601668.SH,buy,4916.178263008737,7.0
2016-08-05,601766.SH,buy,3390.467767592232,10.15
2016-08-05,601857.SH,buy,3765.1255843611766,9.14
2016-08-05,601988.SH,buy,6592.576214762675,5.22
2016-08-05,601998.SH,buy,4395.050809841782,7.83
2016-08-05,601999.SH,buy,3363.953845656027,10.23
2016-08-12,000002.SZ,sell,12.370900693819864,3024.78
2016-08-12,000710.SZ,sell,444.9605358295986,77.34
2016-08-12,600000.SH,sell,236.06288819495924,151.62
2016-08-12,600004.SH,sell,1533.5671943431887,22.64
2016-08-12,600009.SH,sell,421.008659665539,81.1
2016-08-12,600016.SH,sell,193.14838548050267,181.81
2016-08-12,600028.SH,sell,2858.2431761678704,12.32
2016-08-12,600036.SH,sell,449.5525518100739,80.53
2016-08-12,600104.SH,sell,189.0630031922929,185.03
2016-08-12,600158.SH,sell,310.4207815358214,108.61
2016-08-12,600318.SH,sell,813.9367985113803,42.28
2016-08-12,600391.SH,sell,395.7365207113749,88.91
2016-08-12,600519.SH,sell,16.05822029605799,2220.37
2016-08-12,600796.SH,sell,416.6757215287705,82.59
2016-08-12,600872.SH,sell,225.55710717088,154.73
2016-08-12,600900.SH,sell,956.4549149822446,38.39
2016-08-12,601007.SH,sell,2513.75075537335,13.87
2016-08-12,601088.SH,sell,1744.2092164754768,20.1
2016-08-12,601166.SH,sell,605.0149057851821,59.34
2016-08-12,601288.SH,sell,8135.519584175214,4.35
2016-08-12,601318.SH,sell,480.229526110259,74.56
2016-08-12,601328.SH,sell,3840.7642679755754,9.33
2016-08-12,601398.SH,sell,5105.823121819163,7.01
2016-08-12,601601.SH,sell,1122.4151285408075,31.16
2016-08-12,601668.SH,sell,4916.178263008737,7.44
2016-08-12,601766.SH,sell,3390.467767592232,10.37
2016-08-12,601857.SH,sell,3765.1255843611766,9.26
2016-08-12,601988.SH,sell,6592.576214762675,5.49
2016-08-12,601998.SH,sell,4395.050809841782,8.44
2016-08-12,601999.SH,sell,3363.953845656027,10.61
2016-08-12,000002.SZ,buy,11.70558409426102,3024.78
2016-08-12,000710.SZ,buy,457.8073009650744,77.34
2016-08-12,600000.SH,buy,233.5233917467277,151.62
2016-08-12,600004.SH,buy,1563.9053293568397,22.64
2016-08-12,600009.SH,buy,436.58220291786506,81.1
2016-08-12,600016.SH,buy,194.74625519299738,181.81
2016-08-12,600028.SH,buy,2873.929923428478,12.32
2016-08-12,600030.SH,buy,412.04255390013793,85.93
2016-08-12,600036.SH,buy,439.6723786991041,80.53
2016-08-12,600104.SH,buy,191.357167252007,185.03
2016-08-12,600158.SH,buy,325.9996009266076,108.61
2016-08-12,600318.SH,buy,837.4365339791592,42.28
2016-08-12,600391.SH,buy,398.2321072617125,88.91
2016-08-12,600519.SH,buy,15.946358785535228,2220.37
2016-08-12,600796.SH,buy,428.70585611622295,82.59
2016-08-12,600872.SH,buy,228.82968174651882,154.73
2016-08-12,600900.SH,buy,922.2926974899415,38.39
2016-08-12,601007.SH,buy,2552.76255635464,13.87
2016-08-12,601088.SH,buy,1761.5331669969578,20.1
2016-08-12,601166.SH,buy,596.6770585884539,59.34
2016-08-12,601288.SH,buy,8139.498081985944,4.35
2016-08-12,601318.SH,buy,474.87683284118634,74.56
2016-08-12,601328.SH,buy,3794.94283565261,9.33
2016-08-12,601398.SH,buy,5050.901092245201,7.01
2016-08-12,601668.SH,buy,4758.9807334192,7.44
2016-08-12,601766.SH,buy,3414.3506901291084,10.37
2016-08-12,601857.SH,buy,3823.630308492317,9.26
2016-08-12,601988.SH,buy,6449.329081354982,5.49
2016-08-12,601998.SH,buy,4195.120456947731,8.44
2016-08-12,601999.SH,buy,3337.1174982694492,10.61
2016-08-19,000002.SZ,sell,11.70558409426102,3265.12
2016-08-19,000710.SZ,sell,457.8073009650744,77.34
2016-08-19,600000.SH,sell,233.5233917467277,152.17
2016-08-19,600004.SH,sell,1563.9053293568397,23.05
2016-08-19,600009.SH,sell,436.58220291786506,83.26
2016-08-19,600016.SH,sell,194.74625519299738,178.93
2016-08-19,600028.SH,sell,2873.929923428478,12.47
2016-08-19,600030.SH,sell,412.04255390013793,87.37
2016-08-19,600036.SH,sell,439.6723786991041,83.35
2016-08-19,600104.SH,sell,191.357167252007,186.05
2016-08-19,600158.SH,sell,325.9996009266076,115.55
2016-08-19,600318.SH,sell,837.4365339791592,42.28
2016-08-19,600391.SH,sell,398.2321072617125,91.28
2016-08-19,600519.SH,sell,15.946358785535228,2146.88
2016-08-19,600796.SH,sell,428.70585611622295,82.59
2016-08-19,600872.SH,sell,228.82968174651882,160.23
2016-08-19,600900.SH,sell,922.2926974899415,37.5
2016-08-19,601007.SH,sell,2552.76255635464,14.72
2016-08-19,601088.SH,sell,1761.5331669969578,19.98
2016-08-19,601166.SH,sell,596.6770585884539,58.83
2016-08-19,601288.SH,sell,8139.498081985944,4.31
2016-08-19,601318.SH,sell,474.87683284118634,76.87
2016-08-19,601328.SH,sell,3794.94283565261,9.24
2016-08-19,601398.SH,sell,5050.901092245201,6.92
2016-08-19,601668.SH,sell,4758.9807334192,7.76
2016-08-19,601766.SH,sell,3414.3506901291084,11.07
2016-08-19,601857.SH,sell,3823.630308492317,9.35
2016-08-19,601988.SH,sell,6449.329081354982,5.38
2016-08-19,601998.SH,sell,4195.120456947731,8.44
2016-08-19,601999.SH,sell,3337.1174982694492,10.82
2016-08-19,000002.SZ,buy,10.994787364083669,3265.12
2016-08-19,000710.SZ,buy,464.1750726430937,77.34
2016-08-19,600000.SH,buy,235.9157528962139,152.17
2016-08-19,600004.SH,buy,1557.4533673846797,23.05
2016-08-19,600009.SH,buy,431.1710319266979,83.26
2016-08-19,600016.SH,buy,200.63320917798504,178.93
2016-08-19,600028.SH,buy,2878.8532572748086,12.47
2016-08-19,600036.SH,buy,430.7054603265371,83.35
2016-08-19,600104.SH,buy,192.9551202269114,186.05
2016-08-19,600158.SH,buy,310.68195688634245,115.55
2016-08-19,600318.SH,buy,849.0846764005881,42.28
2016-08-19,600391.SH,buy,393.28768753524173,91.28
2016-08-19,600519.SH,buy,16.721614677213847,2146.88
2016-08-19,600796.SH,buy,434.6688475386471,82.59
2016-08-19,600838.SH,buy,208.11188474328617,172.5
2016-08-19,600872.SH,buy,224.04855593969214,160.23
2016-08-19,600900.SH,buy,957.3146698191165,37.5
2016-08-19,601007.SH,buy,2438.811149335385,14.72
2016-08-19,601088.SH,buy,1796.761767678522,19.98
2016-08-19,601166.SH,buy,610.2209777021395,58.83
2016-08-19,601288.SH,buy,8329.303971744053,4.31
2016-08-19,601318.SH,buy,467.0131406038359,76.87
2016-08-19,601328.SH,buy,3885.2056404996606,9.24
2016-08-19,601398.SH,buy,5187.760132690299,6.92
2016-08-19,601668.SH,buy,4626.19846884238,7.76
2016-08-19,601766.SH,buy,3242.9358733709905,11.07
2016-08-19,601857.SH,buy,3839.497338846724,9.35
2016-08-19,601988.SH,buy,6672.73236398083,5.38
2016-08-19,601998.SH,buy,4253.471577987781,8.44
2016-08-19,601999.SH,buy,3317.8650756207826,10.82
2016-08-26,000002.SZ,sell,10.994787364083669,3039.39
2016-08-26,000710.SZ,sell,464.1750726430937,77.34
2016-08-26,600000.SH,sell,235.9157528962139,151.43
2016-08-26,600004.SH,sell,1557.4533673846797,24.12
2016-08-26,600009.SH,sell,431.1710319266979,84.0
2016-08-26,600016.SH,sell,200.63320917798504,178.17
2016-08-26,600028.SH,sell,2878.8532572748086,12.4
